"score_m","race","frpl","lep","sped","age","enghome","frpl_combined","newname"
"score_m1",0,0,0,0,0,0,0,"score_0000000"
"score_m2",1,0,0,0,0,0,0,"score_1000000"
"score_m3",0,1,0,0,0,0,0,"score_0100000"
"score_m4",0,0,1,0,0,0,0,"score_0010000"
"score_m5",0,0,0,1,0,0,0,"score_0001000"
"score_m6",0,0,0,0,1,0,0,"score_0000100"
"score_m7",0,0,0,0,0,1,0,"score_0000010"
"score_m8",1,1,0,0,0,0,0,"score_1100000"
"score_m9",1,0,1,0,0,0,0,"score_1010000"
"score_m10",1,0,0,1,0,0,0,"score_1001000"
"score_m11",1,0,0,0,1,0,0,"score_1000100"
"score_m12",1,0,0,0,0,1,0,"score_1000010"
"score_m13",0,1,1,0,0,0,0,"score_0110000"
"score_m14",0,1,0,1,0,0,0,"score_0101000"
"score_m15",0,1,0,0,1,0,0,"score_0100100"
"score_m16",0,1,0,0,0,1,0,"score_0100010"
"score_m17",0,0,1,1,0,0,0,"score_0011000"
"score_m18",0,0,1,0,1,0,0,"score_0010100"
"score_m19",0,0,1,0,0,1,0,"score_0010010"
"score_m20",0,0,0,1,1,0,0,"score_0001100"
"score_m21",0,0,0,1,0,1,0,"score_0001010"
"score_m22",0,0,0,0,1,1,0,"score_0000110"
"score_m23",1,1,1,0,0,0,0,"score_1110000"
"score_m24",1,1,0,1,0,0,0,"score_1101000"
"score_m25",1,1,0,0,1,0,0,"score_1100100"
"score_m26",1,1,0,0,0,1,0,"score_1100010"
"score_m27",1,0,1,1,0,0,0,"score_1011000"
"score_m28",1,0,1,0,1,0,0,"score_1010100"
"score_m29",1,0,1,0,0,1,0,"score_1010010"
"score_m30",1,0,0,1,1,0,0,"score_1001100"
"score_m31",1,0,0,1,0,1,0,"score_1001010"
"score_m32",1,0,0,0,1,1,0,"score_1000110"
"score_m33",0,1,1,1,0,0,0,"score_0111000"
"score_m34",0,1,1,0,1,0,0,"score_0110100"
"score_m35",0,1,1,0,0,1,0,"score_0110010"
"score_m36",0,1,0,1,1,0,0,"score_0101100"
"score_m37",0,1,0,1,0,1,0,"score_0101010"
"score_m38",0,1,0,0,1,1,0,"score_0100110"
"score_m39",0,0,1,1,1,0,0,"score_0011100"
"score_m40",0,0,1,1,0,1,0,"score_0011010"
"score_m41",0,0,1,0,1,1,0,"score_0010110"
"score_m42",0,0,0,1,1,1,0,"score_0001110"
"score_m43",1,1,1,1,0,0,0,"score_1111000"
"score_m44",1,1,1,0,1,0,0,"score_1110100"
"score_m45",1,1,1,0,0,1,0,"score_1110010"
"score_m46",1,1,0,1,1,0,0,"score_1101100"
"score_m47",1,1,0,1,0,1,0,"score_1101010"
"score_m48",1,1,0,0,1,1,0,"score_1100110"
"score_m49",1,0,1,1,1,0,0,"score_1011100"
"score_m50",1,0,1,1,0,1,0,"score_1011010"
"score_m51",1,0,1,0,1,1,0,"score_1010110"
"score_m52",1,0,0,1,1,1,0,"score_1001110"
"score_m53",0,1,1,1,1,0,0,"score_0111100"
"score_m54",0,1,1,1,0,1,0,"score_0111010"
"score_m55",0,1,1,0,1,1,0,"score_0110110"
"score_m56",0,1,0,1,1,1,0,"score_0101110"
"score_m57",0,0,1,1,1,1,0,"score_0011110"
"score_m58",1,1,1,1,1,0,0,"score_1111100"
"score_m59",1,1,1,1,0,1,0,"score_1111010"
"score_m60",1,1,1,0,1,1,0,"score_1110110"
"score_m61",1,1,0,1,1,1,0,"score_1101110"
"score_m62",1,0,1,1,1,1,0,"score_1011110"
"score_m63",0,1,1,1,1,1,0,"score_0111110"
"score_m64",1,1,1,1,1,1,0,"score_1111110"
"score_m65",0,0,0,0,0,0,1,"score_0000001"
"score_m66",1,0,0,0,0,0,1,"score_1000001"
"score_m67",0,0,1,0,0,0,1,"score_0010001"
"score_m68",0,0,0,1,0,0,1,"score_0001001"
"score_m69",0,0,0,0,1,0,1,"score_0000101"
"score_m70",0,0,0,0,0,1,1,"score_0000011"
"score_m71",1,0,1,0,0,0,1,"score_1010001"
"score_m72",1,0,0,1,0,0,1,"score_1001001"
"score_m73",1,0,0,0,1,0,1,"score_1000101"
"score_m74",1,0,0,0,0,1,1,"score_1000011"
"score_m75",0,0,1,1,0,0,1,"score_0011001"
"score_m76",0,0,1,0,1,0,1,"score_0010101"
"score_m77",0,0,1,0,0,1,1,"score_0010011"
"score_m78",0,0,0,1,1,0,1,"score_0001101"
"score_m79",0,0,0,1,0,1,1,"score_0001011"
"score_m80",0,0,0,0,1,1,1,"score_0000111"
"score_m81",1,0,1,1,0,0,1,"score_1011001"
"score_m82",1,0,1,0,1,0,1,"score_1010101"
"score_m83",1,0,1,0,0,1,1,"score_1010011"
"score_m84",1,0,0,1,1,0,1,"score_1001101"
"score_m85",1,0,0,1,0,1,1,"score_1001011"
"score_m86",1,0,0,0,1,1,1,"score_1000111"
"score_m87",0,0,1,1,1,0,1,"score_0011101"
"score_m88",0,0,1,1,0,1,1,"score_0011011"
"score_m89",0,0,1,0,1,1,1,"score_0010111"
"score_m90",0,0,0,1,1,1,1,"score_0001111"
"score_m91",1,0,1,1,1,0,1,"score_1011101"
"score_m92",1,0,1,1,0,1,1,"score_1011011"
"score_m93",1,0,1,0,1,1,1,"score_1010111"
"score_m94",1,0,0,1,1,1,1,"score_1001111"
"score_m95",0,0,1,1,1,1,1,"score_0011111"
"score_m96",1,0,1,1,1,1,1,"score_1011111"
